FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,RETRASO_MIN,HORA_SIN,HORA_COS,MINUTOS_DIA,PRECIP_MOMENTO,TEMP_ESTIMADA,Racha (km/h)
01/01/2026,2,LEMD,SAEZ,Iberia,68,-0.06540312923014287,-0.9978589232386035,735,0.0,4.9,18.0
01/01/2026,0,LEMD,EBBR,Iberia,13,-0.08715574274765794,-0.9961946980917455,740,0.0,4.9,18.0
01/01/2026,1,LEMD,ENGM,Norwegian Air Shuttle,28,-0.08715574274765794,-0.9961946980917455,740,0.0,4.9,18.0
01/01/2026,2,LEMD,EHAM,Iberia,56,-0.08715574274765794,-0.9961946980917455,740,0.0,4.9,18.0
01/01/2026,0,LEMD,ZBAA,Air China,16,-0.08715574274765794,-0.9961946980917455,740,0.0,4.9,18.0
01/01/2026,0,LEMD,GCXO,Binter Canarias,7,-0.08715574274765794,-0.9961946980917455,740,0.0,4.9,18.0
01/01/2026,2,LEMD,MROC,Iberia,48,-0.10886687485196476,-0.9940563382223196,745,0.0,4.9,18.0
01/01/2026,3,LEMD,DAAG,Air Algérie,267,-0.13052619222005132,-0.9914448613738105,750,0.0,4.9,18.0
01/01/2026,1,LEMD,EGKK,easyJet,27,-0.13052619222005132,-0.9914448613738105,750,0.0,4.9,18.0
01/01/2026,1,LEMD,MUHA,Iberia,34,-0.13052619222005132,-0.9914448613738105,750,0.0,4.9,18.0
01/01/2026,1,LEMD,KBOS,Iberia,28,-0.13052619222005132,-0.9914448613738105,750,0.0,4.9,18.0
01/01/2026,0,LEMD,LFRS,Volotea Airlines,15,-0.13052619222005132,-0.9914448613738105,750,0.0,4.9,18.0
01/01/2026,1,LEMD,EPKK,Ryanair,24,-0.15212338618991642,-0.9883615104677608,755,0.0,4.9,18.0
01/01/2026,1,LEMD,LFPG,Air France,22,-0.15212338618991642,-0.9883615104677608,755,0.0,4.9,18.0
01/01/2026,2,LEMD,LEAM,Iberia,53,-0.15212338618991642,-0.9883615104677608,755,0.0,4.9,18.0
01/01/2026,0,LEMD,LFBO,Volotea Airlines,15,-0.15212338618991642,-0.9883615104677608,755,0.0,4.9,18.0
01/01/2026,1,LEMD,LOWW,Ryanair,45,-0.5000000000000001,-0.8660254037844386,840,0.0,4.9,18.0
01/01/2026,0,LEMD,LEPA,Iberia,13,-0.5187732581605212,-0.8549118706729467,845,0.0,4.9,18.0
01/01/2026,0,LEMD,EBBR,Ryanair,15,-0.5555702330196023,-0.8314696123025452,855,0.0,4.9,18.0
01/01/2026,2,LEMD,LGAV,Sky Express,48,-0.5555702330196023,-0.8314696123025452,855,0.0,4.9,18.0
01/01/2026,0,LEMD,LTFM,Turkish Airlines,14,-0.5913096483635824,-0.8064446042674825,865,0.0,4.9,18.0
01/01/2026,1,LEMD,LFPO,Air Europa,21,-0.5913096483635824,-0.8064446042674825,865,0.0,4.9,18.0
01/01/2026,2,LEMD,LFLL,Volotea Airlines,46,-0.5913096483635824,-0.8064446042674825,865,0.0,4.9,18.0
01/01/2026,1,LEMD,LFPO,Iberia,25,-0.5913096483635824,-0.8064446042674825,865,0.0,4.9,18.0
01/01/2026,0,LEMD,MUHA,Welcome Air,16,-0.6087614290087207,-0.7933533402912352,870,0.0,4.9,18.0
01/01/2026,1,LEMD,LEPA,Air Europa,21,-0.6259234721840587,-0.779884483092882,875,0.0,4.9,18.0
01/01/2026,0,LEMD,LIRQ,Vueling,19,-0.6259234721840587,-0.779884483092882,875,0.0,4.9,18.0
01/01/2026,1,LEMD,EGLL,British Airways,22,-0.6259234721840587,-0.779884483092882,875,0.0,4.9,18.0
01/01/2026,1,LEMD,OMDB,Emirates,37,-0.6259234721840587,-0.779884483092882,875,0.0,4.9,18.0
01/01/2026,1,LEMD,GMTT,Air Arabia Maroc,38,-0.6593458151000688,-0.7518398074789775,885,0.0,4.9,18.0
01/01/2026,1,LEMD,LFPO,Transavia France,36,-0.6755902076156598,-0.7372773368101244,890,0.0,4.9,18.0
01/01/2026,2,LEMD,HECA,EgyptAir,46,-0.6755902076156598,-0.7372773368101244,890,0.0,4.9,18.0
01/01/2026,1,LEMD,LEBL,Iberia,23,-0.6915130557822693,-0.7223639620597556,895,0.0,4.9,18.0
01/01/2026,0,LEMD,LEVC,Air Europa,14,-0.6915130557822693,-0.7223639620597556,895,0.0,4.9,18.0
01/01/2026,1,LEMD,LPPT,Air Europa,26,-0.6915130557822693,-0.7223639620597556,895,0.0,4.9,18.0
01/01/2026,1,LEMD,LSZH,Air Europa,21,-0.6915130557822693,-0.7223639620597556,895,0.0,4.9,18.0
01/01/2026,0,LEMD,LEVX,Air Europa,12,-0.6915130557822693,-0.7223639620597556,895,0.0,4.9,18.0
01/01/2026,3,LEMD,LPPT,TAP - Air Portugal,118,-0.6915130557822693,-0.7223639620597556,895,0.0,4.9,18.0
01/01/2026,1,LEMD,LPPR,Air Europa,25,-0.7071067811865475,-0.7071067811865477,900,0.0,4.9,18.0
01/01/2026,1,LEMD,LIRF,Air Europa,25,-0.7071067811865475,-0.7071067811865477,900,0.0,4.9,18.0
01/01/2026,0,LEMD,LEMG,Air Europa,16,-0.7071067811865475,-0.7071067811865477,900,0.0,4.9,18.0
01/01/2026,1,LEMD,EHAM,Air Europa,39,-0.7071067811865475,-0.7071067811865477,900,0.0,4.9,18.0
